City,District,Cum_0505_0511,Cum_0508_0514,Cum_0511_0517,Cum_0519_0525,Cum_0522_0528,Cum_0525_0531
台北市,士林區,2,9,36,69,81,81
台北市,大同區,1,27,61,57,68,69
台北市,大安區,7,24,36,56,65,59
台北市,中山區,3,12,40,64,57,66
台北市,中正區,9,20,50,74,81,69
台北市,內湖區,4,13,20,38,37,46
台北市,文山區,8,19,56,119,98,80
台北市,北投區,4,12,24,48,56,47
台北市,松山區,2,15,30,44,49,42
台北市,信義區,5,18,45,74,83,61
台北市,南港區,1,10,26,33,29,28
台北市,萬華區,81,229,565,482,379,330
新北市,八里區,0,2,7,4,5,5
新北市,三芝區,0,0,0,0,0,0
新北市,三重區,27,60,133,204,202,174
新北市,三峽區,1,6,12,27,26,22
新北市,土城區,11,33,80,113,120,109
新北市,中和區,23,70,158,283,277,234
新北市,五股區,5,16,31,34,34,32
新北市,永和區,16,30,69,112,128,116
新北市,石門區,0,0,0,1,0,0
新北市,石碇區,1,1,2,3,4,4
新北市,汐止區,1,7,19,58,63,54
新北市,坪林區,0,0,0,0,0,1
新北市,板橋區,41,130,321,388,311,218
新北市,林口區,1,3,10,35,35,35
新北市,金山區,0,1,3,0,0,0
新北市,泰山區,2,6,14,19,15,17
新北市,淡水區,6,13,20,41,30,33
新北市,深坑區,0,2,5,12,6,1
新北市,新店區,6,29,68,93,71,56
新北市,新莊區,11,37,90,157,149,123
新北市,瑞芳區,0,0,1,0,3,4
新北市,萬里區,2,3,3,1,0,0
新北市,樹林區,6,14,32,37,40,37
新北市,蘆洲區,10,25,44,84,75,61
新北市,鶯歌區,0,1,4,8,11,9
